incident_id,external_case_id,source,occurred_at,year,month,country,site,location,case_type,activity,classification_source,hazard_category,hazard_confidence,cause_category,cause_confidence,severity_level,recurrence_frequency,risk_score,risk_level_label,needs_human_review,recommendation_summary
65f58927-915b-56d3-a8db-f537c2bb3a03,MOCK-2025011,mock,2025-02-03,2025,2,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,EHS - Potential hazard,Repair & Maintenance,PH,Vehicle & Traffic Hazards,0.73,Procedures,0.67,Very low,0 - 14 days,5,Low,true,"Separate pedestrians from vehicle routes, refresh traffic markings, and audit forklift behavior."
028543f0-e92b-5dce-a46d-51d5edc7f7a9,MOCK-2025012,mock,2025-02-06,2025,2,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,EHS - Potential hazard,Building & Property conditions,PH,Fire & Explosion Hazards,0.8,Pedestrian,0.74,High,0 - 14 days,125,Critical,true,"Remove ignition sources, verify fire controls, and inspect flammable material storage."
2315a6fc-1fd3-538e-93e9-ed193d56df56,MOCK-2025013,mock,2025-02-09,2025,2,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,EHS - Potential hazard,Office work/administration,PH,Environmental Hazards,0.69,Personal Protective Equipment,0.63,High,6 months - 1 year,75,High,true,"Improve containment, inspect waste handling, and verify environmental controls."
9883fe97-1c1d-5089-89c4-404f46169fab,MOCK-2025014,mock,2025-02-12,2025,2,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,EHS - Potential hazard,Manual material handling,PH,Physical Hazards,0.76,Human Factors,0.7,Very high,1 year - 5 years,150,Critical,true,"Remove trip/slip source, improve visual marking, and verify housekeeping checks."
95e4dfdb-7329-5b4f-8243-fae8b7f6e45c,MOCK-2025015,mock,2025-02-15,2025,2,India,Vadodara,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",EHS - Potential hazard,Traffic,PH,Chemical Hazards,0.83,Maintenance Management,0.77,Low,14 days - 6 months,20,Medium,false,"Contain spill/leak source, verify labeling, and review chemical storage controls."
17c0136a-84b5-5e12-a10c-2ac0c28d3547,MOCK-2025016,mock,2025-02-18,2025,2,China,Wuqing,China - Wuqing - Quanhui Road No.9,EHS - Potential hazard,Machining & Assembly,PH,Ergonomic Hazards,0.72,Communication,0.66,Medium,0 - 14 days,50,High,true,"Review workstation layout, reduce repetitive strain, and adjust manual handling process."
0baf26b8-c9ff-5a25-8521-d8ec7f8531c1,MOCK-2025017,mock,2025-02-21,2025,2,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,EHS - Potential hazard,Walking / working surfaces,PH,Process Safety / Operational Hazards,0.79,Workplace Design,0.73,Low,Less often,5,Low,true,"Review energy isolation, pressure system controls, and permit-to-work process."
2a9959ae-c9c9-57a3-9ec9-ef026ce48780,MOCK-2025018,mock,2025-02-24,2025,2,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,EHS - Near miss,Ergonomic,NMI,Mechanical / Equipment Hazards,0.68,Housekeeping,0.62,High,6 months - 1 year,75,High,true,"Inspect guarding, verify lockout-tagout controls, and repair defective equipment."
3315dc9d-8339-592c-aa71-ea035689d23e,MOCK-2025019,mock,2025-02-27,2025,2,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,EHS - Potential hazard,Repair & Maintenance,PH,Electrical Hazards,0.75,Organization,0.69,Very low,1 year - 5 years,2,Low,true,"Isolate exposed electrical components, inspect cabinets, and verify authorized access."
f19f5b6e-ca7e-538a-aff9-fa63100306a7,MOCK-2025020,mock,2025-03-02,2025,3,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,EHS - Potential hazard,Building & Property conditions,PH,Vehicle & Traffic Hazards,0.82,Facilities and equipment,0.76,Medium,14 days - 6 months,40,Medium,false,"Separate pedestrians from vehicle routes, refresh traffic markings, and audit forklift behavior."
33e9063d-026b-5fb6-94a6-3590259429e2,MOCK-2025021,mock,2025-03-05,2025,3,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,EHS - Potential hazard,Office work/administration,PH,Fire & Explosion Hazards,0.71,Procedures,0.65,High,0 - 14 days,125,Critical,true,"Remove ignition sources, verify fire controls, and inspect flammable material storage."
0e95894a-8054-5c6b-b1da-bb044a468fb0,MOCK-2025022,mock,2025-03-08,2025,3,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,EHS - Potential hazard,Manual material handling,PH,Environmental Hazards,0.78,Pedestrian,0.72,Low,Less often,5,Low,true,"Improve containment, inspect waste handling, and verify environmental controls."
d68fe404-dddd-5007-9fea-f2d42d00b53f,MOCK-2025023,mock,2025-03-11,2025,3,India,Vadodara,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",EHS - Potential hazard,Traffic,PH,Physical Hazards,0.85,Personal Protective Equipment,0.79,Medium,6 months - 1 year,30,Medium,false,"Remove trip/slip source, improve visual marking, and verify housekeeping checks."
a382cf67-69ce-59ee-be44-44b9f62583ef,MOCK-2025024,mock,2025-03-14,2025,3,China,Wuqing,China - Wuqing - Quanhui Road No.9,EHS - Potential hazard,Machining & Assembly,PH,Chemical Hazards,0.74,Human Factors,0.68,Low,1 year - 5 years,10,Low,true,"Contain spill/leak source, verify labeling, and review chemical storage controls."
bbb1f8e6-cc17-50a3-a7e1-59eaee6a6a95,MOCK-2025025,mock,2025-03-17,2025,3,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,EHS - Potential hazard,Walking / working surfaces,PH,Ergonomic Hazards,0.81,Maintenance Management,0.75,High,14 days - 6 months,100,High,false,"Review workstation layout, reduce repetitive strain, and adjust manual handling process."
be64d7a2-5657-5870-8272-b83cc73a8c23,MOCK-2025026,mock,2025-03-20,2025,3,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,EHS - Potential hazard,Ergonomic,PH,Process Safety / Operational Hazards,0.7,Communication,0.64,Very low,0 - 14 days,5,Low,true,"Review energy isolation, pressure system controls, and permit-to-work process."
58349641-4cc1-5848-97ae-ba7873f8150e,MOCK-2025027,mock,2025-03-23,2025,3,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,EHS - Near miss,Repair & Maintenance,NMI,Mechanical / Equipment Hazards,0.77,Workplace Design,0.71,High,0 - 14 days,125,Critical,true,"Inspect guarding, verify lockout-tagout controls, and repair defective equipment."
183035bf-e751-5825-9bf7-1f59ec7bbbff,MOCK-2025028,mock,2025-03-26,2025,3,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,EHS - Potential hazard,Building & Property conditions,PH,Electrical Hazards,0.84,Housekeeping,0.78,High,6 months - 1 year,75,High,false,"Isolate exposed electrical components, inspect cabinets, and verify authorized access."
2a4234a6-f405-519c-9861-91823cbd7ea1,MOCK-2025029,mock,2025-03-29,2025,3,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,EHS - Potential hazard,Office work/administration,PH,Vehicle & Traffic Hazards,0.73,Organization,0.67,Very high,1 year - 5 years,150,Critical,true,"Separate pedestrians from vehicle routes, refresh traffic markings, and audit forklift behavior."
3a1feadf-158d-5c50-b247-24329ac8a4ee,MOCK-2025030,mock,2025-04-01,2025,4,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,EHS - Potential hazard,Manual material handling,PH,Fire & Explosion Hazards,0.8,Facilities and equipment,0.74,Low,14 days - 6 months,20,Medium,true,"Remove ignition sources, verify fire controls, and inspect flammable material storage."
a4ac5ce5-6e6c-570f-9768-316c47bc9857,MOCK-2025031,mock,2025-04-04,2025,4,India,Vadodara,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",EHS - Potential hazard,Traffic,PH,Environmental Hazards,0.69,Procedures,0.63,Medium,0 - 14 days,50,High,true,"Improve containment, inspect waste handling, and verify environmental controls."
210643aa-420f-5421-93ce-db4511c33c3b,MOCK-2025032,mock,2025-04-07,2025,4,China,Wuqing,China - Wuqing - Quanhui Road No.9,EHS - Potential hazard,Machining & Assembly,PH,Physical Hazards,0.76,Pedestrian,0.7,Low,Less often,5,Low,true,"Remove trip/slip source, improve visual marking, and verify housekeeping checks."
2d398cb3-a6f3-53f6-843d-a63671edb113,MOCK-2025033,mock,2025-04-10,2025,4,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,EHS - Potential hazard,Walking / working surfaces,PH,Chemical Hazards,0.83,Personal Protective Equipment,0.77,Very low,6 months - 1 year,3,Low,false,"Contain spill/leak source, verify labeling, and review chemical storage controls."
f7f66197-e529-5bd6-90bc-c43b7c744d4d,MOCK-2025034,mock,2025-04-13,2025,4,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,EHS - Potential hazard,Ergonomic,PH,Ergonomic Hazards,0.72,Human Factors,0.66,Medium,1 year - 5 years,20,Medium,true,"Review workstation layout, reduce repetitive strain, and adjust manual handling process."
7581546e-8f61-5ffc-8603-32d5e8be43e6,MOCK-2025035,mock,2025-04-16,2025,4,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,EHS - Potential hazard,Repair & Maintenance,PH,Process Safety / Operational Hazards,0.79,Maintenance Management,0.73,Very high,14 days - 6 months,300,Critical,true,"Review energy isolation, pressure system controls, and permit-to-work process."
23cd3e3a-5814-579f-965b-92f5c264a2fb,MOCK-2025036,mock,2025-04-19,2025,4,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,EHS - Near miss,Building & Property conditions,NMI,Mechanical / Equipment Hazards,0.68,Communication,0.62,Very high,0 - 14 days,375,Critical,true,"Inspect guarding, verify lockout-tagout controls, and repair defective equipment."
3b4be0aa-df22-5854-b61b-6d34547b7fc9,MOCK-2025037,mock,2025-04-22,2025,4,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,EHS - Potential hazard,Office work/administration,PH,Electrical Hazards,0.75,Workplace Design,0.69,Low,Less often,5,Low,true,"Isolate exposed electrical components, inspect cabinets, and verify authorized access."
1f0f4f08-01b0-53c8-91df-83b87ef64e1f,MOCK-2025038,mock,2025-04-25,2025,4,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,EHS - Potential hazard,Manual material handling,PH,Vehicle & Traffic Hazards,0.82,Housekeeping,0.76,Medium,6 months - 1 year,30,Medium,false,"Separate pedestrians from vehicle routes, refresh traffic markings, and audit forklift behavior."
bee1019e-e32f-5f27-9111-77548ef61adb,MOCK-2025039,mock,2025-04-28,2025,4,India,Vadodara,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",EHS - Potential hazard,Traffic,PH,Fire & Explosion Hazards,0.71,Organization,0.65,Low,1 year - 5 years,10,Low,true,"Remove ignition sources, verify fire controls, and inspect flammable material storage."
ea7791f3-320d-5b54-84f5-68d962546dbf,MOCK-2025040,mock,2025-05-01,2025,5,China,Wuqing,China - Wuqing - Quanhui Road No.9,EHS - Potential hazard,Machining & Assembly,PH,Environmental Hazards,0.78,Facilities and equipment,0.72,High,14 days - 6 months,100,High,true,"Improve containment, inspect waste handling, and verify environmental controls."
f83a765a-ab9a-526a-930c-9e9fc0d077c4,MOCK-2025041,mock,2025-05-04,2025,5,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,EHS - Potential hazard,Walking / working surfaces,PH,Physical Hazards,0.85,Procedures,0.79,Very low,0 - 14 days,5,Low,false,"Remove trip/slip source, improve visual marking, and verify housekeeping checks."
bc2125b9-9a49-5c37-a3d0-75c08051247d,MOCK-2025042,mock,2025-05-07,2025,5,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,EHS - Potential hazard,Ergonomic,PH,Chemical Hazards,0.74,Pedestrian,0.68,Medium,Less often,10,Low,true,"Contain spill/leak source, verify labeling, and review chemical storage controls."
0ad90cb8-154c-5de5-9ef6-3a1949ea1e47,MOCK-2025043,mock,2025-05-10,2025,5,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,EHS - Potential hazard,Repair & Maintenance,PH,Ergonomic Hazards,0.81,Personal Protective Equipment,0.75,High,0 - 14 days,125,Critical,true,"Review workstation layout, reduce repetitive strain, and adjust manual handling process."
c5a6928f-a56d-55f6-ba08-7772c06a8633,MOCK-2025044,mock,2025-05-13,2025,5,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,EHS - Potential hazard,Building & Property conditions,PH,Process Safety / Operational Hazards,0.7,Human Factors,0.64,Low,1 year - 5 years,10,Low,true,"Review energy isolation, pressure system controls, and permit-to-work process."
56ad541f-3919-5759-ad7d-753e498c490d,MOCK-2025045,mock,2025-05-16,2025,5,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,EHS - Near miss,Office work/administration,NMI,Mechanical / Equipment Hazards,0.77,Maintenance Management,0.71,Medium,14 days - 6 months,40,Medium,true,"Inspect guarding, verify lockout-tagout controls, and repair defective equipment."
a2c4e3d9-9c58-5b42-a9fd-1c391c5cce65,MOCK-2025046,mock,2025-05-19,2025,5,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,EHS - Potential hazard,Manual material handling,PH,Electrical Hazards,0.84,Communication,0.78,Low,0 - 14 days,25,Medium,false,"Isolate exposed electrical components, inspect cabinets, and verify authorized access."
7788e62a-212b-5249-942b-0256aebd9750,MOCK-2025047,mock,2025-05-22,2025,5,India,Vadodara,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",EHS - Potential hazard,Traffic,PH,Vehicle & Traffic Hazards,0.73,Workplace Design,0.67,High,Less often,25,Medium,true,"Separate pedestrians from vehicle routes, refresh traffic markings, and audit forklift behavior."
510431f1-9b03-53e0-aa57-5d687a845399,MOCK-2025048,mock,2025-05-25,2025,5,China,Wuqing,China - Wuqing - Quanhui Road No.9,EHS - Potential hazard,Machining & Assembly,PH,Fire & Explosion Hazards,0.8,Housekeeping,0.74,Very low,6 months - 1 year,3,Low,true,"Remove ignition sources, verify fire controls, and inspect flammable material storage."
1df02913-9662-583f-9911-5ddabb9e58bd,MOCK-2025049,mock,2025-05-28,2025,5,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,EHS - Potential hazard,Walking / working surfaces,PH,Environmental Hazards,0.69,Organization,0.63,Medium,1 year - 5 years,20,Medium,true,"Improve containment, inspect waste handling, and verify environmental controls."
8c5b8964-89c8-5638-8b51-9314f9eec86a,MOCK-2025050,mock,2025-05-31,2025,5,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,EHS - Potential hazard,Ergonomic,PH,Physical Hazards,0.76,Facilities and equipment,0.7,High,14 days - 6 months,100,High,true,"Remove trip/slip source, improve visual marking, and verify housekeeping checks."
3a46152a-3a61-5fa3-9938-7faa6142b56a,MOCK-2025051,mock,2025-06-03,2025,6,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,EHS - Potential hazard,Repair & Maintenance,PH,Chemical Hazards,0.83,Procedures,0.77,Very high,0 - 14 days,375,Critical,true,"Contain spill/leak source, verify labeling, and review chemical storage controls."
411e3f93-7b82-508a-a2c4-adad17865922,MOCK-2025052,mock,2025-06-06,2025,6,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,EHS - Potential hazard,Building & Property conditions,PH,Ergonomic Hazards,0.72,Pedestrian,0.66,Low,Less often,5,Low,true,"Review workstation layout, reduce repetitive strain, and adjust manual handling process."
838ecfe9-b72c-5cd2-986d-07ee229ca074,MOCK-2025053,mock,2025-06-09,2025,6,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,EHS - Potential hazard,Office work/administration,PH,Process Safety / Operational Hazards,0.79,Personal Protective Equipment,0.73,Medium,6 months - 1 year,30,Medium,true,"Review energy isolation, pressure system controls, and permit-to-work process."
c15e749c-9344-5736-accc-a9858e241334,MOCK-2025054,mock,2025-06-12,2025,6,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,EHS - Near miss,Manual material handling,NMI,Mechanical / Equipment Hazards,0.68,Human Factors,0.62,Low,1 year - 5 years,10,Low,true,"Inspect guarding, verify lockout-tagout controls, and repair defective equipment."
283d4029-5fd5-5c50-96e8-07665c517731,MOCK-2025055,mock,2025-06-15,2025,6,India,Vadodara,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",EHS - Potential hazard,Traffic,PH,Electrical Hazards,0.75,Maintenance Management,0.69,Very low,14 days - 6 months,4,Low,true,"Isolate exposed electrical components, inspect cabinets, and verify authorized access."
5bad43b3-d00b-5a66-bed8-609610dde3db,MOCK-2025056,mock,2025-06-18,2025,6,China,Wuqing,China - Wuqing - Quanhui Road No.9,EHS - Potential hazard,Machining & Assembly,PH,Vehicle & Traffic Hazards,0.82,Communication,0.76,Medium,0 - 14 days,50,High,false,"Separate pedestrians from vehicle routes, refresh traffic markings, and audit forklift behavior."
131eae6c-0079-58cc-992d-7e552f09575c,MOCK-2025057,mock,2025-06-21,2025,6,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,EHS - Potential hazard,Walking / working surfaces,PH,Fire & Explosion Hazards,0.71,Workplace Design,0.65,High,Less often,25,Medium,true,"Remove ignition sources, verify fire controls, and inspect flammable material storage."
46aa3113-7a1e-5356-a913-75c60155a34d,MOCK-2025058,mock,2025-06-24,2025,6,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,EHS - Potential hazard,Ergonomic,PH,Environmental Hazards,0.78,Housekeeping,0.72,High,0 - 14 days,125,Critical,true,"Improve containment, inspect waste handling, and verify environmental controls."
3f289a60-b6fa-5957-9030-d9f6af157ba7,MOCK-2025059,mock,2025-06-27,2025,6,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,EHS - Potential hazard,Repair & Maintenance,PH,Physical Hazards,0.85,Organization,0.79,Low,1 year - 5 years,10,Low,false,"Remove trip/slip source, improve visual marking, and verify housekeeping checks."
c0466966-d5dc-58d8-83d3-6fd549987d91,MOCK-2025060,mock,2025-06-30,2025,6,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,EHS - Potential hazard,Building & Property conditions,PH,Chemical Hazards,0.74,Facilities and equipment,0.68,Medium,14 days - 6 months,40,Medium,true,"Contain spill/leak source, verify labeling, and review chemical storage controls."
55213200-241e-565e-bdf7-39ace5fc9b74,MOCK-2025061,mock,2025-07-03,2025,7,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,EHS - Potential hazard,Office work/administration,PH,Ergonomic Hazards,0.81,Procedures,0.75,Low,0 - 14 days,25,Medium,false,"Review workstation layout, reduce repetitive strain, and adjust manual handling process."
f2d48b0c-c7df-5670-9fd2-10c2e0389dd5,MOCK-2025062,mock,2025-07-06,2025,7,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,EHS - Potential hazard,Manual material handling,PH,Process Safety / Operational Hazards,0.7,Pedestrian,0.64,High,Less often,25,Medium,true,"Review energy isolation, pressure system controls, and permit-to-work process."
a397669c-2d31-5aa8-8e2a-3c3acec04f75,MOCK-2025063,mock,2025-07-09,2025,7,India,Vadodara,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",EHS - Near miss,Traffic,NMI,Mechanical / Equipment Hazards,0.77,Personal Protective Equipment,0.71,Very low,6 months - 1 year,3,Low,true,"Inspect guarding, verify lockout-tagout controls, and repair defective equipment."
751b10f5-d417-57f9-9102-7a4a33128b70,MOCK-2025064,mock,2025-07-12,2025,7,China,Wuqing,China - Wuqing - Quanhui Road No.9,EHS - Potential hazard,Machining & Assembly,PH,Electrical Hazards,0.84,Human Factors,0.78,Medium,1 year - 5 years,20,Medium,false,"Isolate exposed electrical components, inspect cabinets, and verify authorized access."
66c05a0b-1d56-552d-9285-968027830916,MOCK-2025065,mock,2025-07-15,2025,7,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,EHS - Potential hazard,Walking / working surfaces,PH,Vehicle & Traffic Hazards,0.73,Maintenance Management,0.67,High,14 days - 6 months,100,High,true,"Separate pedestrians from vehicle routes, refresh traffic markings, and audit forklift behavior."
479079a8-e251-5c39-ac6f-deafa1a588b1,MOCK-2025066,mock,2025-07-18,2025,7,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,EHS - Potential hazard,Ergonomic,PH,Fire & Explosion Hazards,0.8,Communication,0.74,Low,0 - 14 days,25,Medium,true,"Remove ignition sources, verify fire controls, and inspect flammable material storage."
80ad5c5c-baab-5b37-89bb-ed5fdc8d27e7,MOCK-2025067,mock,2025-07-21,2025,7,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,EHS - Potential hazard,Repair & Maintenance,PH,Environmental Hazards,0.69,Workplace Design,0.63,Medium,Less often,10,Low,true,"Improve containment, inspect waste handling, and verify environmental controls."
0a44d6f6-b334-54f4-bfee-5544010df633,MOCK-2025068,mock,2025-07-24,2025,7,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,EHS - Potential hazard,Building & Property conditions,PH,Physical Hazards,0.76,Housekeeping,0.7,Low,6 months - 1 year,15,Medium,true,"Remove trip/slip source, improve visual marking, and verify housekeeping checks."
0f0bffd8-1dea-5991-a13a-f8c2095c1558,MOCK-2025069,mock,2025-07-27,2025,7,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,EHS - Potential hazard,Office work/administration,PH,Chemical Hazards,0.83,Organization,0.77,Very high,14 days - 6 months,300,Critical,true,"Contain spill/leak source, verify labeling, and review chemical storage controls."
16ef15b1-3ac0-558f-bd13-036bd653b77b,MOCK-2025070,mock,2025-07-30,2025,7,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,EHS - Potential hazard,Manual material handling,PH,Ergonomic Hazards,0.72,Facilities and equipment,0.66,Very low,14 days - 6 months,4,Low,true,"Review workstation layout, reduce repetitive strain, and adjust manual handling process."
ada0c2c9-46c3-5566-8343-85af23690091,MOCK-2025071,mock,2025-08-02,2025,8,India,Vadodara,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",EHS - Potential hazard,Traffic,PH,Process Safety / Operational Hazards,0.79,Procedures,0.73,Medium,0 - 14 days,50,High,true,"Review energy isolation, pressure system controls, and permit-to-work process."
93e04b8f-aea7-5855-9b87-40a7c6cb5b71,MOCK-2025072,mock,2025-08-05,2025,8,China,Wuqing,China - Wuqing - Quanhui Road No.9,EHS - Near miss,Machining & Assembly,NMI,Mechanical / Equipment Hazards,0.68,Pedestrian,0.62,High,Less often,25,Medium,true,"Inspect guarding, verify lockout-tagout controls, and repair defective equipment."
b51ade75-c03c-5bde-a590-fdb061e8e5a8,MOCK-2025073,mock,2025-08-08,2025,8,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,EHS - Potential hazard,Walking / working surfaces,PH,Electrical Hazards,0.75,Personal Protective Equipment,0.69,Very high,6 months - 1 year,225,Critical,true,"Isolate exposed electrical components, inspect cabinets, and verify authorized access."
fcebe1b3-0c7b-5a12-93e8-a634b910673e,MOCK-2025074,mock,2025-08-11,2025,8,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,EHS - Potential hazard,Ergonomic,PH,Vehicle & Traffic Hazards,0.82,Human Factors,0.76,Low,1 year - 5 years,10,Low,false,"Separate pedestrians from vehicle routes, refresh traffic markings, and audit forklift behavior."
6074e504-78ea-56c7-96f5-418ff3170595,MOCK-2025075,mock,2025-08-14,2025,8,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,EHS - Potential hazard,Repair & Maintenance,PH,Fire & Explosion Hazards,0.71,Maintenance Management,0.65,Medium,14 days - 6 months,40,Medium,true,"Remove ignition sources, verify fire controls, and inspect flammable material storage."
