incident_id,external_case_id,year,month,country,site,location,activity,hazard_category,cause_category,severity_level,recurrence_frequency,risk_score,risk_level_label,recommendation_summary,needs_human_review
724e2a75-dd66-4e06-b6d2-719ef5b154f3,300026,2025,2,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,-- Not selected --,Electrical Hazards,Workplace Design,High,0 - 14 days,125,Critical,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: Immediate.,True
03671622-08fb-462d-b73a-5b42a9cc1a13,300027,2025,3,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,Traffic,Vehicle & Traffic Hazards,Human Factors,Medium,Less often,10,Low,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 90 days.,False
40be0e13-5277-4afa-829d-cb6bd8dc2704,300028,2025,4,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,Manual material handling,Chemical Hazards,Procedures,High,Unknown,,Unknown,Update the work instruction and confirm the procedure is followed. Owner: Production. Timeframe: 90 days.,True
16664086-4281-4bf2-900a-27932c3a5a83,300029,2025,5,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,Machining & Assembly,Mechanical / Equipment Hazards,Housekeeping,High,14 days - 6 months,100,High,Add housekeeping checks and clear the affected area. Owner: Maintenance. Timeframe: 7 days.,False
d0316fa8-40f8-4754-862d-eb46352c93bd,300030,2025,6,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,Walking / working surfaces,Ergonomic Hazards,Housekeeping,Unknown,Unknown,,Unknown,Add housekeeping checks and clear the affected area. Owner: Facilities. Timeframe: 90 days.,True
ead89bae-90b8-4899-b9e7-795f4d6f0576,300031,2025,7,India,Vadodara_Taluka,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",Repair & Maintenance,Electrical Hazards,Facilities and equipment,Very low,6 months - 1 year,3,Low,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 90 days.,False
7f827eda-5ff6-4a8a-96bb-2de70163fb4f,300032,2025,8,China,Wuqing,China - Wuqing - Quanhui Road No.9,Traffic,Vehicle & Traffic Hazards,Workplace Design,High,Unknown,,Unknown,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 90 days.,True
71b22cc8-3bbc-4dc4-b051-ddf381a94379,300033,2025,9,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Ergonomic,Ergonomic Hazards,Human Factors,Low,0 - 14 days,25,Medium,"Review work method, posture, load, and task rotation controls. Owner: Facilities. Timeframe: 30 days.",False
b3ab49c6-da29-4dd8-b115-b3499a9c0eda,300034,2025,10,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Repair & Maintenance,Fire & Explosion Hazards,Housekeeping,High,Less often,25,Medium,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 30 days.,False
3556eb00-ba3d-4647-80e8-335976036001,300035,2025,11,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,Repair & Maintenance,Process Safety / Operational Hazards,Housekeeping,Medium,Less often,10,Low,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 90 days.,False
6b6d60f3-ba0c-4baf-b191-8f3ebc297a8e,300036,2025,12,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,Building & Property conditions,Environmental Hazards,Housekeeping,High,14 days - 6 months,100,High,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 7 days.,False
a8dd0d79-457b-4c19-b0ee-251fd3881598,300036,2025,1,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,Walking / working surfaces,Physical Hazards,Facilities and equipment,High,14 days - 6 months,100,High,"Remove slip/trip exposure, improve signage, and verify housekeeping controls. Owner: Facilities. Timeframe: 7 days.",False
4549369c-da1e-4b27-8dde-e379288d9792,300036,2025,2,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,Repair & Maintenance,Electrical Hazards,Workplace Design,High,6 months - 1 year,75,High,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 7 days.,False
82e84cd6-3923-4d39-a6ca-f65e2f45597c,300039,2025,3,India,Vadodara_Taluka,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",-- Not selected --,Vehicle & Traffic Hazards,Human Factors,Very low,Unknown,,Unknown,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 90 days.,True
33342228-d9d2-44ee-b005-73adc2912c46,300040,2025,4,China,Wuqing,China - Wuqing - Quanhui Road No.9,Manual material handling,Chemical Hazards,Procedures,High,0 - 14 days,125,Critical,Update the work instruction and confirm the procedure is followed. Owner: Production. Timeframe: Immediate.,True
a7845d62-fe47-4095-a491-0c493f82dbd5,300041,2025,5,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Machining & Assembly,Mechanical / Equipment Hazards,Housekeeping,Low,Less often,5,Low,Add housekeeping checks and clear the affected area. Owner: Maintenance. Timeframe: 90 days.,False
78b0d443-c991-4df7-9ddc-3bb73e427be4,300042,2025,6,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Walking / working surfaces,Ergonomic Hazards,Housekeeping,Unknown,Unknown,,Unknown,Add housekeeping checks and clear the affected area. Owner: Facilities. Timeframe: 90 days.,True
e786f304-27a9-4e8a-a818-5a11d5487c03,300043,2025,7,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,Repair & Maintenance,Electrical Hazards,Facilities and equipment,Medium,14 days - 6 months,40,Medium,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 30 days.,False
6f0cf183-bd6e-4305-af8b-2e5fed6246c0,300044,2025,8,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,Traffic,Vehicle & Traffic Hazards,Workplace Design,High,Unknown,,Unknown,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 90 days.,True
0ac96425-ba7a-4ed6-9300-48f9657692a8,300045,2025,9,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,Ergonomic,Ergonomic Hazards,Human Factors,High,6 months - 1 year,75,High,"Review work method, posture, load, and task rotation controls. Owner: Facilities. Timeframe: 7 days.",False
fb3dcd9b-d5a4-40c1-a062-575520ebe4c0,300046,2025,10,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,Repair & Maintenance,Fire & Explosion Hazards,Procedures,High,Unknown,,Unknown,Update the work instruction and confirm the procedure is followed. Owner: Production. Timeframe: 90 days.,True
239ed6be-51b9-42fe-b338-74ec2046eaca,300047,2025,11,India,Vadodara_Taluka,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",Repair & Maintenance,Process Safety / Operational Hazards,Housekeeping,Very low,0 - 14 days,5,Low,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 90 days.,False
3ca6c765-38e5-4d09-a580-7bffb1799643,300048,2025,12,China,Wuqing,China - Wuqing - Quanhui Road No.9,Building & Property conditions,Environmental Hazards,Housekeeping,High,Less often,25,Medium,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 30 days.,False
34afffea-d260-4682-9b61-24f708151f2f,300049,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Walking / working surfaces,Physical Hazards,Facilities and equipment,Low,14 days - 6 months,20,Medium,"Remove slip/trip exposure, improve signage, and verify housekeeping controls. Owner: Facilities. Timeframe: 30 days.",False
a6907c48-d35d-44b1-82cb-171305fd4020,300050,2025,2,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Repair & Maintenance,Electrical Hazards,Workplace Design,High,14 days - 6 months,100,High,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 7 days.,False
